path,description
Auto_Rifle_1.png,This (Auto Rifle) has teal coating and is made of wood. It has a very thin and tall shape with a large barrel and is charging an electric blast.
Auto_Rifle_10.png,This large Auto Rifle has a white color with a long barrel. It has a stock with beads on it and a very large drum magazine.
Auto_Rifle_118.png,This Auto Rifle has a sleek Black design with a pronounces silencer on it. It has a normal magazine clip and a scope. It is Black and stealthy
Auto_Rifle_2.png,This Auto Rifle has 4 Barrels wrapped together by a brass cable. Steam punk themed with a rusted apperance.
Auto_Rifle_20.png,This Auto Rifle is shiny with intense red and blue accents. It has a long barrel that is supported by the main body. It is skinny and rectangular.
Auto_Rifle_21.png,This Auto Rifle has neyon blue accents that highlight the inner workings of the Auto Rifle. Its shape is jagged and trapazoidal.
Auto_Rifle_27.png,This Auto Rifle is black with royal purple and gold highlights. It is curved with no sharp edges. It has a scope.
Auto_Rifle_33.png,This Auto Rifle has a Long Barrel and a pronounced bayonett. It has a blocky square like shape
Auto_Rifle_5.png,A small white Auto Rifle with a large navy blue bayonet. Small thin frame with a blocky apperance
Auto_Rifle_65.png,Auto Rifle with a cosmic themed paint job. Smooth and rounded apperance with a scope.
Combat_Bow_1.png,Combat Bow with a gold and black color scheme. Sharp pointy features. sleek and powerful
Combat_Bow_12.png,Combat Bow with shiny striking red and blue accents. Massive arrow with explosive tip. Triangulation in body design
Combat_Bow_13.png,Combat bow in the shape of a rectangule. Thin arrow sits on a steel loop. Cyan accents
Combat_Bow_15.png,Golden Combat bow with a thin and lean body shape. Large golden arrow. No gears.
Combat_Bow_21.png,Combat BOw with lots of gears and moving parts. Complex weaponry with a strong arrow. green accents. Powerful
Combat_Bow_23.png,slender sleek Combat Bow with a square shaped arrow. Hot pink. Stealth weapon
Combat_Bow_29.png,powerful Combat Bow with fangs on the upper and lower limbs of the Bow. Explosive arrow tip. gears and moving parts.
Combat_Bow_3.png,Powerful Combat Bow with a thick body and ruggid metal apperance. Steam punk apperance. Large Arrow head.
Combat_Bow_30.png,Rectangular Combat Bow with tall vertical wings. Sharp and small arrow with big body. Black with brown highlights.
Combat_Bow_8.png,Combat bow with a tight slender apperance. Thin and shiny body. Pink and teal fade that looks like a dragon scale.
Fusion_Rifle_1.png,Fusion Rifle with a well kept apperance. Blue cloths runing down the side and raven feather engravings.
Fusion_Rifle_27.png,small Fusion Rifle with lots of piping leading to the barrell. Large scope. stainless steal with teal coloring. Rounded front with triangular rear.
Fusion_Rifle_29.png,small Fusion Rifle with a blocky thick apperance. Defined corners. Dense and powerful. Battery Pack under the trigger. Brown and gold with orange accents.
Fusion_Rifle_3.png,Small Single arm Fusion Rifle. Rectangular Prism. Blocky shape. Large Battery pack. Black with copper highlights.
Fusion_Rifle_43.png,Fusion Rifle with sharp bone like features. Sharp Teeth on the sides and horns attatched to all parts of the body. Alien. Bone white and Maroon
Fusion_Rifle_5.png,"Fusion Rifle with Large Teeth, Horns, and Scales throught the body. Handle looks like it's melting. Eyelits throught the body. Brown Mammoth looking weapon."
Fusion_Rifle_52.png,Rounded Fusion Rifle with copper wire and copper plating. Samurai inspired apperance. Large Battery under handle. 
Fusion_Rifle_6.png,Rigid Fusion rifle. Hyper modern apperance. Sleek and chizzled. White with black and gold highlights
Fusion_Rifle_64.png,Fusion Rifle with a curved and rounded front and sharp triangular rear. Long Barrel. Gold and White 
Fusion_Rifle_7.png,Fusion Rifle with a Barrell nearly detatched from the body. Rounded and bulky weapon. Hyper futuristic. Orange.
Fusion_Rifle_81.png,Army Green Fusion Rifle with a blocky and thick apperance. Small and dense.
Glaive_1.png,Large Glaive with a thick blade and cybernetic apperance. Neyon blue. Glitchy. 
Glaive_10.png,Large Glaive with an double sided axe type blade. Horns. Twisted handle and twisted blade. Zebra Themed.
Glaive_11.png,Large Glaive with a slender handle and thick blade. striped blade. Gold handle. Black blade. Crimson red accents.
Glaive_12.png,Large Glaive with a slender handle and thick blade. Demascus steel blade. orange handle. Black blade.
Glaive_13.png,Large Glaive with a long handle and short blade. Golden ripples with black accents. 
Glaive_14.png,Large Glaive made of solid gold. Ripples engraved into the handle and blade.
Glaive_2.png,Large Glaive with a blade that resembles a double axe with a spike. 3 Pointed tips. Circular Spiky base of handle. Waivy blades. Mystical.
Glaive_3.png,Cosmic Glaive with a purple base and galaxy themed blade. Golden accents
Glaive_4.png,Harpoon shapped Glaive with royal blue coloring. Harpoon mixed with sword.
Glaive_6.png,Large Glaive with an double sided axe type blade. Horns. Twisted handle and twisted blade. Green and black striped
Grenade_Launcher_1.png,Steam Punk Spiky Grenade Launcher. Junker theme. Brown and copper coloring. Grenade Drum Magazine
Grenade_Launcher_14.png,Ruggid and rectangular grenade launcher. Worn apperance. Maroon paint. Grenade Drum Magazine
Grenade_Launcher_16.png,"Cyan Grenade Launcher with a clean and modern apperance. Well manufactured. Grenade Drum Magazine. Grey, cyan."
Grenade_Launcher_18.png,Spiky Viking like Grenade Launcher with Large Nosile. Cannon like. Grenade Drum Magazine. Spikes and Whiskers on the body.
Grenade_Launcher_2.png,Sleek and small Grenade Launcher. No drum. rainbow like Barrel. Black body. 
Grenade_Launcher_32.png,Sleek and smooth well built Grenade Launcher. Grenade Drum Magazine. Golden and white. Futuristic 
Grenade_Launcher_48.png,Hand held Grenade Launcher with a cylindrical body. Grenade Launcher Hand Cannon. Royal Blue with grey accents.
Grenade_Launcher_6.png,Grenade Launcher with a Trapizoidal apperance. Rough edges and sharp corners. Large Rectangular Magazine. Lime Green with purple accents.
Grenade_Launcher_79.png,flat Barrelled Grenade Launcher with a Grenade Drum Magazine. flat and rectangular. Orange and navy blue.
Grenade_Launcher_90.png,Ruggid and beat up Grenade Launcher. Worn down. Grenade Drum Magazine. dark green.
Hand_Cannon_1.png,Hand Cannon with a large thick rectangular Barell and an Ace Of Spades imprinted on the handle and barrel. white body and blue accent.
Hand_Cannon_118.png,A futuristic looking hand cannon with a purple cylindrical barell with 3 golden rings. Black handle.
Hand_Cannon_123.png,Bone Featured Hand Cannon with sharp teeth and horns throught the body. Jagged edges. Alien. Bone white and Maroon.
Hand_Cannon_138.png,Hand Cannon with a rectangular barrel. Navy Blue. Traditional pistol.
Hand_Cannon_2.png,small Hand Cannon with a knife bayonet. Front is blood stained. Greay and white with red accents. Rectangular barrel
Hand_Cannon_27.png,Triangular Hand Cannon with a small barrel. Trapizoidal. Triangular. Green with yellow accents.
